date,meal_type,title,brand,serving_name,amount,amount_in_grams,calories,carbs,carbs_fiber,carbs_sugar,cholesterol,fat,fat_saturated,fat_unsaturated,potassium,protein,sodium
2020-06-14,breakfast,Coffee,,dl,3.0,300.0,24.0,0.72,0.0,0.0,0.0,2.04,1.32,0.0,0.0,0.48,0.0
2020-06-14,breakfast,*3.25% milk,,dl,2.0,200.0,128.0,9.6,0.0,0.0,0.0,6.4,0.0,0.0,0.0,6.4,0.0
2020-06-14,breakfast,Jubileumskakor,Polarbröd,slice/s,1.0,37.5,108.75,17.25,0.9750000000000001,1.9124999999999999,0.0,2.4749999999999996,0.30000000000000004,2.175,0.0,3.375,0.0
2020-06-14,breakfast,Orginal piladelphia naturell,,g,10.0,10.0,22.5,0.43,0.0,0.43,0.0,2.1,1.4000000000000001,0.0,0.0,0.54,0.0
2020-06-14,breakfast,Zucchini Raw,,g,45.0,45.0,7.65,1.395,0.45,1.125,0.0,0.135,0.045000000000000005,0.045000000000000005,0.0011745,0.54,0.0036000000000000003
2020-06-14,breakfast,Salami,Gøl,g,2.0,2.0,8.540000000000001,0.02,0.0,0.01,0.0,0.78,0.32,0.46,0.0,0.36,0.001
2020-06-15,breakfast,Coffee,,cl,15.0,150.0,12.0,0.36,0.0,0.0,0.0,1.02,0.66,0.0,0.0,0.24,0.0
2020-06-15,breakfast,Coffee,,cl,15.0,150.0,12.0,0.36,0.0,0.0,0.0,1.02,0.66,0.0,0.0,0.24,0.0
2020-06-15,breakfast,Jubileumskakor,Polarbröd,slice/s,1.0,37.5,108.75,17.25,0.9750000000000001,1.9124999999999999,0.0,2.4749999999999996,0.30000000000000004,2.175,0.0,3.375,0.0
2020-06-15,breakfast,Impact Whey Isolate,MyProtein,g,28.0,28.0,104.16,0.7,0.224,0.7,0.0,0.112,0.112,0.0,0.0,25.2,0.00364
2020-06-15,breakfast,Cucumber,,g,100.0,100.0,15.0,3.63,0.5,1.67,0.0,0.11,0.037,0.37,0.147,0.7,0.002
2020-06-15,breakfast,I dl osockrade blåbär,Magnihill,g,100.0,100.0,45.0,10.0,3.59999990463257,6.40000009536743,0.0,0.5,0.0,0.5,0.0,0.7,0.0
